company,ticker
20 Microns Limited,20MICRONS.NS
21st Century Management Services Limited,21STCENMGM.NS
3i Infotech Limited,3IINFOTECH.NS
3M India Limited,3MINDIA.NS
3P Land Holdings Limited,3PLAND.NS
5Paisa Capital Limited,5PAISA.NS
63 moons technologies limited,63MOONS.NS
A2Z Infra Engineering Limited,A2ZINFRA.NS
Aarti Drugs Limited,AARTIDRUGS.NS
Aarti Industries Limited,AARTIIND.NS
Aarvee Denims & Exports Limited,AARVEEDEN.NS
Aavas Financiers Limited,AAVAS.NS
Aban Offshore Limited,ABAN.NS
ABB India Limited,ABB.NS
Abbott India Limited,ABBOTINDIA.NS
Aditya Birla Capital Limited,ABCAPITAL.NS
Aditya Birla Fashion and Retail Limited,ABFRL.NS
ABM International Limited,ABMINTLTD.NS
ACC Limited,ACC.NS
Accelya Solutions India Limited,ACCELYA.NS
Action Construction Equipment Limited,ACE.NS
Adani Enterprises Limited,ADANIENT.NS
Adani Gas Limited,ADANIGAS.NS
Adani Green Energy Limited,ADANIGREEN.NS
Adani Ports and Special Economic Zone Limited,ADANIPORTS.NS
Adani Power Limited,ADANIPOWER.NS
Adani Transmission Limited,ADANITRANS.NS
ADF Foods Limited,ADFFOODS.NS
Adhunik Metaliks Limited,ADHUNIK.NS
Adhunik Industries Limited,ADHUNIKIND.NS
Adlabs Entertainment Limited,ADLABS.NS
Ador Welding Limited,ADORWELD.NS
Adroit Infotech Limited,ADROITINFO.NS
Allied Digital Services Limited,ADSL.NS
Advani Hotels & Resorts (India) Limited,ADVANIHOTR.NS
Advanced Enzyme Technologies Limited,ADVENZYMES.NS
Aegis Logistics Limited,AEGISCHEM.NS
Affle (India) Limited,AFFLE.NS
Agarwal Industrial Corporation Limited,AGARIND.NS
AGC Networks Limited,AGCNET.NS
Agri-Tech (India) Limited,AGRITECH.NS
Agro Phos India Limited,AGROPHOS.NS
Asian Hotels (East) Limited,AHLEAST.NS
Ahluwalia Contracts (India) Limited,AHLUCONT.NS
Asian Hotels (West) Limited,AHLWEST.NS
AIA Engineering Limited,AIAENG.NS
Monnet Ispat & Energy Limited,AIONJSW.NS
Airan Limited,AIRAN.NS
Ajanta Pharma Limited,AJANTPHARM.NS
Ajmera Realty & Infra India Limited,AJMERA.NS
Akash Infra-Projects Limited,AKASH.NS
AksharChem India Limited,AKSHARCHEM.NS
Aksh Optifibre Limited,AKSHOPTFBR.NS
Akzo Nobel India Limited,AKZOINDIA.NS
Alankit Limited,ALANKIT.NS
Albert David Limited,ALBERTDAVD.NS
Allahabad Bank,ALBK.NS
Alchemist Limited,ALCHEM.NS
Alembic Limited,ALEMBICLTD.NS
Alicon Castalloy Limited,ALICON.NS
Alkali Metals Limited,ALKALI.NS
Alkem Laboratories Limited,ALKEM.NS
Alkyl Amines Chemicals Limited,ALKYLAMINE.NS
Allcargo Logistics Limited,ALLCARGO.NS
Allsec Technologies Limited,ALLSEC.NS
Almondz Global Securities Limited,ALMONDZ.NS
Alok Industries Limited,ALOKTEXT.NS
Alpa Laboratories Limited,ALPA.NS
Alphageo (India) Limited,ALPHAGEO.NS
Alps Industries Limited,ALPSINDUS.NS
Amara Raja Batteries Limited,AMARAJABAT.NS
Amber Enterprises India Limited,AMBER.NS
Ambika Cotton Mills Limited,AMBIKCO.NS
